epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.385,0.42424242424242425,0.35833333333333334,0.38421052631578945,1.172,0.42424242424242425,1.3583333333333334,2.0,0.096,0.15454545454545454,0.06666666666666667,0.06842105263157895,0.9424,0.9952,-1.0184,0.624,0.19,0.448,0.362,0.312,0.0,0.688,0.0995
1,0.405,0.4636363636363636,0.375,0.37894736842105264,1.152,0.4636363636363636,1.3166666666666667,1.931578947368421,0.099,0.17272727272727273,0.06875,0.04736842105263158,0.88795,0.99025,-0.9985499999999999,0.636,0.177,0.494,0.329,0.305,0.013,0.682,0.09900250000000001
2,0.428,0.5696969696969697,0.35833333333333334,0.35789473684210527,1.151,0.5696969696969697,1.25625,1.894736842105263,0.102,0.19696969696969696,0.06458333333333334,0.031578947368421054,0.83701,0.9851500000000002,-0.99806,0.662,0.142,0.565,0.293,0.311,0.02,0.669,0.0985074875
3,0.457,0.6454545454545455,0.3625,0.3684210526315789,1.15,0.6515151515151515,1.20625,1.8736842105263158,0.11,0.22424242424242424,0.05625,0.04736842105263158,0.7891800000000001,0.9796500000000001,-0.99217,0.674,0.115,0.62,0.265,0.314,0.024,0.662,0.09801495006250001
4,0.472,0.6878787878787879,0.36666666666666664,0.3631578947368421,1.152,0.706060606060606,1.1875,1.8368421052631578,0.119,0.23333333333333334,0.075,0.031578947368421054,0.74074,0.9737000000000002,-0.9845600000000001,0.702,0.097,0.654,0.249,0.323,0.031,0.646,0.09752487531218751
5,0.488,0.7303030303030303,0.3645833333333333,0.37894736842105264,1.143,0.7515151515151515,1.1479166666666667,1.8105263157894738,0.121,0.24848484848484848,0.06458333333333334,0.042105263157894736,0.70188,0.9676500000000001,-0.98314,0.703,0.082,0.693,0.225,0.319,0.036,0.645,0.09703725093562657
6,0.496,0.7333333333333333,0.3770833333333333,0.38421052631578945,1.138,0.7666666666666667,1.1333333333333333,1.7947368421052632,0.133,0.25757575757575757,0.08125,0.04736842105263158,0.6614800000000001,0.9610000000000001,-0.9645999999999999,0.701,0.077,0.708,0.215,0.317,0.039,0.644,0.09655206468094843
7,0.48,0.7151515151515152,0.35208333333333336,0.39473684210526316,1.109,0.7636363636363637,1.0833333333333333,1.7736842105263158,0.117,0.24545454545454545,0.06458333333333334,0.02631578947368421,0.63337,0.9551500000000003,-0.96389,0.654,0.078,0.735,0.187,0.292,0.043,0.665,0.09606930435754368
8,0.489,0.7242424242424242,0.3645833333333333,0.39473684210526316,1.113,0.7757575757575758,1.0916666666666666,1.7526315789473683,0.131,0.2818181818181818,0.0625,0.042105263157894736,0.60648,0.9486000000000002,-0.95511,0.677,0.074,0.739,0.187,0.3,0.047,0.653,0.09558895783575597
9,0.509,0.7727272727272727,0.3875,0.35789473684210527,1.122,0.8303030303030303,1.08125,1.731578947368421,0.121,0.2515151515151515,0.075,0.010526315789473684,0.5862200000000001,0.9425500000000001,-0.9807400000000001,0.709,0.056,0.766,0.178,0.313,0.051,0.636,0.09511101304657718
10,0.549,0.8242424242424242,0.4166666666666667,0.4052631578947368,1.16,0.8939393939393939,1.1166666666666667,1.731578947368421,0.136,0.2606060606060606,0.0875,0.042105263157894736,0.56361,0.9357500000000002,-1.00139,0.781,0.035,0.77,0.195,0.351,0.051,0.598,0.09463545798134429
11,0.551,0.8151515151515152,0.4395833333333333,0.3736842105263158,1.162,0.9090909090909091,1.1145833333333333,1.7210526315789474,0.154,0.3181818181818182,0.08958333333333333,0.031578947368421054,0.53875,0.9280500000000004,-0.98314,0.785,0.03,0.778,0.192,0.355,0.053,0.592,0.09416228069143756
12,0.539,0.8303030303030303,0.4,0.38421052631578945,1.166,0.9212121212121213,1.1166666666666667,1.7157894736842105,0.142,0.27575757575757576,0.08958333333333333,0.042105263157894736,0.5156,0.9209500000000002,-1.00085,0.798,0.026,0.782,0.192,0.36,0.054,0.586,0.09369146928798038
13,0.515,0.7575757575757576,0.42291666666666666,0.3263157894736842,1.183,0.9303030303030303,1.1541666666666666,1.694736842105263,0.161,0.3,0.11458333333333333,0.03684210526315789,0.48796000000000006,0.9129000000000003,-0.9943599999999999,0.821,0.023,0.771,0.206,0.381,0.058,0.561,0.09322301194154048
14,0.508,0.7636363636363637,0.39375,0.3526315789473684,1.168,0.9272727272727272,1.1291666666666667,1.6842105263157894,0.135,0.2787878787878788,0.06666666666666667,0.05789473684210526,0.47051,0.9061500000000002,-1.01555,0.802,0.024,0.784,0.192,0.368,0.06,0.572,0.09275689688183278
15,0.502,0.706060606060606,0.43333333333333335,0.32105263157894737,1.172,0.9242424242424242,1.1520833333333333,1.6526315789473685,0.112,0.2606060606060606,0.05,0.010526315789473684,0.46341999999999994,0.9005500000000003,-1.05291,0.816,0.025,0.778,0.197,0.378,0.066,0.556,0.09229311239742362
16,0.502,0.6393939393939394,0.46458333333333335,0.35789473684210527,1.187,0.9181818181818182,1.1895833333333334,1.6473684210526316,0.13,0.24848484848484848,0.08958333333333333,0.02631578947368421,0.44746,0.8940500000000003,-1.04104,0.83,0.027,0.759,0.214,0.394,0.067,0.539,0.0918316468354365
17,0.521,0.6212121212121212,0.5270833333333333,0.33157894736842103,1.199,0.9151515151515152,1.2125,1.6578947368421053,0.111,0.2,0.07708333333333334,0.042105263157894736,0.43595999999999996,0.8885000000000003,-1.0765,0.841,0.028,0.745,0.227,0.404,0.065,0.531,0.09137248860125932
18,0.528,0.6181818181818182,0.54375,0.33157894736842103,1.207,0.9303030303030303,1.21875,1.6578947368421053,0.124,0.23030303030303031,0.09166666666666666,0.021052631578947368,0.41856000000000004,0.8823000000000004,-1.0655999999999999,0.851,0.023,0.747,0.23,0.412,0.065,0.523,0.09091562615825302
19,0.486,0.5454545454545454,0.5270833333333333,0.2789473684210526,1.206,0.9303030303030303,1.2166666666666666,1.6578947368421053,0.106,0.17272727272727273,0.09375,0.021052631578947368,0.40539,0.8770000000000004,-1.08683,0.825,0.023,0.748,0.229,0.411,0.065,0.524,0.09046104802746176
20,0.462,0.503030303030303,0.4979166666666667,0.3,1.192,0.9272727272727272,1.19375,1.6473684210526316,0.119,0.16363636363636364,0.12291666666666666,0.031578947368421054,0.38670000000000004,0.8710500000000005,-1.0543099999999999,0.792,0.024,0.76,0.216,0.399,0.067,0.534,0.09000874278732444
21,0.409,0.4666666666666667,0.42291666666666666,0.2736842105263158,1.166,0.9272727272727272,1.1458333333333333,1.631578947368421,0.114,0.17272727272727273,0.10625,0.031578947368421054,0.3693,0.8653500000000005,-1.0346,0.74,0.024,0.786,0.19,0.376,0.07,0.554,0.08955869907338782
22,0.35,0.4393939393939394,0.32083333333333336,0.26842105263157895,1.14,0.9272727272727272,1.0958333333333334,1.6210526315789473,0.096,0.1787878787878788,0.058333333333333334,0.04736842105263158,0.36508999999999997,0.8605500000000006,-1.03979,0.687,0.024,0.812,0.164,0.352,0.072,0.576,0.08911090557802087
23,0.301,0.39090909090909093,0.26666666666666666,0.23157894736842105,1.133,0.9272727272727272,1.08125,1.6210526315789473,0.08,0.1484848484848485,0.05,0.03684210526315789,0.36243,0.8565500000000006,-1.05034,0.657,0.024,0.819,0.157,0.345,0.072,0.583,0.08866535105013076
24,0.277,0.38484848484848483,0.22291666666666668,0.22631578947368422,1.129,0.9303030303030303,1.0708333333333333,1.6210526315789473,0.065,0.12424242424242424,0.04375,0.015789473684210527,0.35898,0.8533000000000005,-1.0605499999999999,0.646,0.023,0.825,0.152,0.341,0.072,0.587,0.08822202429488012
25,0.247,0.3212121212121212,0.21666666666666667,0.19473684210526315,1.135,0.9333333333333333,1.0791666666666666,1.6263157894736842,0.056,0.11212121212121212,0.03333333333333333,0.015789473684210527,0.35929999999999995,0.8505000000000006,-1.07932,0.632,0.022,0.821,0.157,0.346,0.071,0.583,0.08778091417340572
26,0.225,0.3090909090909091,0.19791666666666666,0.14736842105263157,1.135,0.9484848484848485,1.0666666666666667,1.631578947368421,0.056,0.11818181818181818,0.03333333333333333,0.005263157894736842,0.35673,0.8477000000000008,-1.07643,0.619,0.017,0.831,0.152,0.345,0.07,0.585,0.0873420096025387
