iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,0,0,0,LowVerify,1
1,0.25,0.25,0.25,0.4545454545454546,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0,0,0,LowVerify,0
2,0.2,0.2,0.2,0.49999999999999994,0.25,0.25,0.41666666666666663,0.3333333333333333,0.25,0,0,0,LowVerify,0
3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5384615384615385,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.23076923076923078,0,0,0,LowVerify,0
4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.5,0.2857142857142857,0.21428571428571427,0,0,0,LowVerify,0
5,0.125,0.125,0.125,0.6,0.2,0.2,0.5333333333333333,0.26666666666666666,0.2,0,0,0,LowVerify,0
6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.625,0.1875,0.1875,0.5625,0.25,0.1875,0,0,0,LowVerify,0
7,0.1,0.1,0.1,0.6470588235294118,0.1764705882352941,0.1764705882352941,0.5882352941176471,0.23529411764705882,0.1764705882352941,0,0,0,LowVerify,0
8,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.6111111111111112,0.2222222222222222,0.16666666666666666,0,0,0,LowVerify,0
9,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.6842105263157894,0.15789473684210525,0.15789473684210525,0.631578947368421,0.21052631578947367,0.15789473684210525,0,1,0,LowVerify,0
10,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.7000000000000001,0.15000000000000002,0.15000000000000002,0.6500000000000001,0.2,0.15000000000000002,0,1,0,LowVerify,0
11,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.7142857142857142,0.14285714285714285,0.14285714285714285,0.6666666666666667,0.19047619047619047,0.14285714285714285,0,1,0,LowVerify,0
12,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.6818181818181818,0.18181818181818182,0.13636363636363635,0,1,0,LowVerify,0
13,0.125,0.375,0.0625,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.6956521739130435,0.17391304347826086,0.13043478260869565,1,1,0,LowVerify,0
14,0.17647058823529413,0.4117647058823529,0.058823529411764705,0.75,0.125,0.125,0.7083333333333333,0.16666666666666666,0.125,1,1,0,LowVerify,0
15,0.2222222222222222,0.4444444444444444,0.05555555555555555,0.76,0.12,0.12,0.7200000000000001,0.16,0.12,1,1,0,LowVerify,0
16,0.2631578947368421,0.47368421052631576,0.05263157894736842,0.7692307692307693,0.11538461538461539,0.11538461538461539,0.7307692307692307,0.15384615384615385,0.11538461538461539,1,1,0,LowVerify,0
17,0.3,0.5,0.05,0.7777777777777777,0.1111111111111111,0.1111111111111111,0.7037037037037037,0.18518518518518517,0.1111111111111111,1,1,0,LowVerify,1
18,0.3333333333333333,0.5238095238095238,0.047619047619047616,0.7857142857142857,0.10714285714285714,0.10714285714285714,0.6785714285714285,0.21428571428571425,0.10714285714285714,1,1,0,LowVerify,1
19,0.36363636363636365,0.5454545454545454,0.045454545454545456,0.793103448275862,0.10344827586206896,0.10344827586206896,0.6551724137931033,0.24137931034482762,0.10344827586206896,1,1,0,LowVerify,1
20,0.391304347826087,0.5652173913043478,0.043478260869565216,0.7999999999999999,0.1,0.1,0.6333333333333333,0.26666666666666666,0.1,1,1,0,LowVerify,1
21,0.4166666666666667,0.5833333333333334,0.041666666666666664,0.8064516129032258,0.0967741935483871,0.0967741935483871,0.6129032258064515,0.29032258064516125,0.0967741935483871,1,1,0,LowVerify,1
22,0.44,0.6,0.04,0.8125,0.09375,0.09375,0.59375,0.3125,0.09375,1,1,0,LowVerify,1
23,0.46153846153846156,0.6153846153846154,0.038461538461538464,0.8181818181818181,0.09090909090909091,0.09090909090909091,0.5757575757575757,0.33333333333333326,0.09090909090909091,1,1,0,LowVerify,1
24,0.48148148148148145,0.6296296296296297,0.037037037037037035,0.823529411764706,0.08823529411764705,0.08823529411764705,0.5588235294117647,0.35294117647058826,0.08823529411764705,1,1,0,LowVerify,1
25,0.5,0.6428571428571429,0.07142857142857142,0.8285714285714286,0.08571428571428572,0.08571428571428572,0.5428571428571428,0.37142857142857144,0.08571428571428572,1,1,1,LowVerify,1
26,0.5172413793103449,0.6551724137931034,0.10344827586206896,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5277777777777778,0.3888888888888889,0.08333333333333333,1,1,1,LowVerify,1
27,0.5333333333333333,0.6666666666666666,0.13333333333333333,0.8378378378378379,0.08108108108108109,0.08108108108108109,0.5135135135135136,0.40540540540540543,0.08108108108108109,1,1,1,LowVerify,1
28,0.5483870967741935,0.6774193548387096,0.16129032258064516,0.8421052631578947,0.07894736842105263,0.07894736842105263,0.5,0.42105263157894735,0.07894736842105263,1,1,1,LowVerify,1
29,0.5625,0.6875,0.1875,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.4871794871794872,0.43589743589743596,0.07692307692307693,1,1,1,LowVerify,1
30,0.5757575757575758,0.696969696969697,0.21212121212121213,0.85,0.07500000000000001,0.07500000000000001,0.47500000000000003,0.45000000000000007,0.07500000000000001,1,1,1,LowVerify,1
31,0.5882352941176471,0.7058823529411765,0.23529411764705882,0.8536585365853658,0.07317073170731708,0.07317073170731708,0.4634146341463415,0.4634146341463415,0.07317073170731708,1,1,1,LowVerify,1
32,0.6,0.7142857142857143,0.2571428571428571,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.45238095238095244,0.47619047619047616,0.07142857142857142,1,1,1,LowVerify,1
33,0.6111111111111112,0.7222222222222222,0.2777777777777778,0.8604651162790697,0.06976744186046512,0.06976744186046512,0.441860465116279,0.4883720930232558,0.06976744186046512,1,1,1,LowVerify,1
34,0.6216216216216216,0.7297297297297297,0.2972972972972973,0.8636363636363635,0.06818181818181818,0.06818181818181818,0.43181818181818177,0.49999999999999994,0.06818181818181818,1,1,1,LowVerify,1
35,0.631578947368421,0.7368421052631579,0.3157894736842105,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.42222222222222217,0.5111111111111111,0.06666666666666667,1,1,1,LowVerify,1
36,0.6410256410256411,0.7435897435897436,0.3333333333333333,0.8695652173913043,0.06521739130434782,0.06521739130434782,0.4130434782608695,0.5217391304347826,0.06521739130434782,1,1,1,LowVerify,1
37,0.65,0.75,0.35,0.8723404255319149,0.06382978723404255,0.06382978723404255,0.40425531914893614,0.5319148936170213,0.06382978723404255,1,1,1,LowVerify,1
38,0.6585365853658537,0.7560975609756098,0.36585365853658536,0.8750000000000001,0.0625,0.0625,0.3958333333333333,0.5416666666666667,0.0625,1,1,1,LowVerify,1
39,0.6666666666666666,0.7619047619047619,0.38095238095238093,0.8775510204081634,0.061224489795918366,0.061224489795918366,0.38775510204081637,0.5306122448979592,0.08163265306122448,1,1,1,LowVerify,2
40,0.6744186046511628,0.7674418604651163,0.3953488372093023,0.8800000000000001,0.06,0.06,0.38000000000000006,0.52,0.1,1,1,1,LowVerify,2
41,0.6818181818181818,0.7727272727272727,0.4090909090909091,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.3725490196078431,0.5098039215686274,0.11764705882352941,1,1,1,LowVerify,2
42,0.6888888888888889,0.7777777777777778,0.4222222222222222,0.8846153846153847,0.057692307692307696,0.057692307692307696,0.36538461538461536,0.5,0.13461538461538464,1,1,1,LowVerify,2
43,0.6956521739130435,0.782608695652174,0.43478260869565216,0.8867924528301887,0.05660377358490566,0.05660377358490566,0.3584905660377358,0.49056603773584906,0.1509433962264151,1,1,1,LowVerify,2
44,0.7021276595744681,0.7872340425531915,0.44680851063829785,0.888888888888889,0.05555555555555555,0.05555555555555555,0.35185185185185186,0.4814814814814814,0.16666666666666666,1,1,1,LowVerify,2
45,0.7083333333333334,0.7916666666666666,0.4583333333333333,0.8909090909090909,0.05454545454545454,0.05454545454545454,0.34545454545454546,0.4727272727272727,0.18181818181818182,1,1,1,LowVerify,2
46,0.7142857142857143,0.7959183673469388,0.46938775510204084,0.8928571428571428,0.05357142857142857,0.05357142857142857,0.33928571428571425,0.46428571428571425,0.19642857142857142,1,1,1,LowVerify,2
47,0.72,0.8,0.48,0.8947368421052632,0.05263157894736842,0.05263157894736842,0.3333333333333333,0.45614035087719296,0.21052631578947367,1,1,1,LowVerify,2
48,0.7254901960784313,0.803921568627451,0.49019607843137253,0.896551724137931,0.05172413793103448,0.05172413793103448,0.32758620689655166,0.44827586206896547,0.22413793103448276,1,1,1,LowVerify,2
