epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.325,0.2864864864864865,0.34347826086956523,0.3588235294117647,1.064,0.2864864864864865,1.3434782608695652,2.0,0.071,0.0891891891891892,0.06521739130434782,0.047058823529411764,0.91595,0.9964500000000001,-0.9089499999999999,0.528,0.264,0.408,0.328,0.264,0.0,0.736,0.0995
1,0.316,0.26216216216216215,0.33695652173913043,0.3764705882352941,1.013,0.2864864864864865,1.2608695652173914,1.923529411764706,0.068,0.08378378378378379,0.06739130434782609,0.03529411764705882,0.84224,0.9930500000000002,-0.87129,0.469,0.264,0.459,0.277,0.226,0.013,0.761,0.09900250000000001
2,0.318,0.3081081081081081,0.31956521739130433,0.3352941176470588,0.998,0.35945945945945945,1.1804347826086956,1.8941176470588235,0.082,0.12162162162162163,0.06521739130434782,0.041176470588235294,0.7658800000000001,0.9889500000000002,-0.8396399999999999,0.449,0.237,0.528,0.235,0.216,0.018,0.766,0.0985074875
3,0.331,0.3,0.34130434782608693,0.37058823529411766,0.988,0.41081081081081083,1.1304347826086956,1.8588235294117648,0.084,0.11351351351351352,0.07391304347826087,0.047058823529411764,0.7036800000000001,0.98475,-0.8418,0.431,0.218,0.576,0.206,0.212,0.024,0.764,0.09801495006250001
4,0.349,0.32972972972972975,0.35,0.38823529411764707,0.994,0.46756756756756757,1.108695652173913,1.8294117647058823,0.087,0.13783783783783785,0.06304347826086956,0.041176470588235294,0.6534699999999999,0.9804000000000002,-0.8567899999999999,0.453,0.197,0.612,0.191,0.223,0.029,0.748,0.09752487531218751
5,0.319,0.31351351351351353,0.31521739130434784,0.3411764705882353,0.987,0.4972972972972973,1.0804347826086957,1.8,0.075,0.10810810810810811,0.06304347826086956,0.03529411764705882,0.62225,0.97665,-0.88078,0.442,0.186,0.641,0.173,0.221,0.034,0.745,0.09703725093562657
6,0.336,0.3567567567567568,0.3108695652173913,0.3588235294117647,0.999,0.5621621621621622,1.065217391304348,1.7705882352941176,0.093,0.15135135135135136,0.06086956521739131,0.052941176470588235,0.58266,0.9720000000000002,-0.8664099999999999,0.478,0.162,0.677,0.161,0.238,0.039,0.723,0.09655206468094843
7,0.347,0.3324324324324324,0.34782608695652173,0.3764705882352941,1.003,0.5864864864864865,1.0717391304347825,1.723529411764706,0.081,0.11891891891891893,0.06304347826086956,0.047058823529411764,0.55824,0.9679500000000003,-0.8975799999999999,0.5,0.153,0.691,0.156,0.25,0.047,0.703,0.09606930435754368
8,0.339,0.3054054054054054,0.3565217391304348,0.36470588235294116,0.999,0.5837837837837838,1.0804347826086957,1.6823529411764706,0.07,0.0918918918918919,0.06739130434782609,0.029411764705882353,0.53751,0.9644500000000003,-0.90827,0.511,0.154,0.693,0.153,0.253,0.054,0.693,0.09558895783575597
9,0.343,0.33783783783783783,0.3456521739130435,0.34705882352941175,0.996,0.6135135135135135,1.0521739130434782,1.6764705882352942,0.094,0.13783783783783785,0.07173913043478261,0.058823529411764705,0.51264,0.9597500000000003,-0.8771299999999999,0.51,0.143,0.718,0.139,0.251,0.055,0.694,0.09511101304657718
10,0.329,0.32432432432432434,0.3130434782608696,0.38235294117647056,0.991,0.6351351351351351,1.0282608695652173,1.6647058823529413,0.076,0.11621621621621622,0.06956521739130435,0.0058823529411764705,0.50636,0.9559500000000003,-0.90872,0.495,0.135,0.739,0.126,0.248,0.057,0.695,0.09463545798134429
11,0.334,0.33513513513513515,0.32608695652173914,0.35294117647058826,1.005,0.6486486486486487,1.0478260869565217,1.6647058823529413,0.075,0.11621621621621622,0.06304347826086956,0.01764705882352941,0.49574,0.9522000000000002,-0.9193799999999999,0.522,0.13,0.735,0.135,0.262,0.057,0.681,0.09416228069143756
12,0.315,0.327027027027027,0.30434782608695654,0.3176470588235294,1.006,0.6702702702702703,1.0369565217391303,1.6529411764705881,0.07,0.10810810810810811,0.04782608695652174,0.047058823529411764,0.48413999999999996,0.9487000000000002,-0.9244,0.521,0.122,0.75,0.128,0.265,0.059,0.676,0.09369146928798038
13,0.33,0.3621621621621622,0.31521739130434784,0.3,1.021,0.6972972972972973,1.0543478260869565,1.6352941176470588,0.084,0.14324324324324325,0.058695652173913045,0.023529411764705882,0.47532,0.9445000000000002,-0.9281799999999998,0.566,0.112,0.755,0.133,0.283,0.062,0.655,0.09322301194154048
14,0.316,0.2918918918918919,0.34130434782608693,0.3,1.033,0.7027027027027027,1.076086956521739,1.6352941176470588,0.073,0.12162162162162163,0.05,0.029411764705882353,0.45929,0.9408500000000004,-0.94397,0.562,0.11,0.747,0.143,0.295,0.062,0.643,0.09275689688183278
15,0.286,0.23783783783783785,0.31521739130434784,0.31176470588235294,1.031,0.7108108108108108,1.067391304347826,1.6294117647058823,0.058,0.07027027027027027,0.05652173913043478,0.03529411764705882,0.45413,0.9379500000000004,-0.9678399999999999,0.539,0.107,0.755,0.138,0.294,0.063,0.643,0.09229311239742362
16,0.3,0.24594594594594596,0.33695652173913043,0.3176470588235294,1.028,0.7054054054054054,1.065217391304348,1.6294117647058823,0.062,0.0891891891891892,0.058695652173913045,0.011764705882352941,0.44927000000000006,0.9348500000000003,-0.96114,0.538,0.109,0.754,0.137,0.291,0.063,0.646,0.0918316468354365
17,0.312,0.2594594594594595,0.3456521739130435,0.3352941176470588,1.04,0.7243243243243244,1.0782608695652174,1.6235294117647059,0.068,0.0972972972972973,0.058695652173913045,0.029411764705882353,0.43940999999999997,0.9314500000000004,-0.9621399999999999,0.564,0.102,0.756,0.142,0.304,0.064,0.632,0.09137248860125932
18,0.31,0.2648648648648649,0.3456521739130435,0.31176470588235294,1.047,0.7297297297297297,1.0891304347826087,1.6235294117647059,0.079,0.0945945945945946,0.0891304347826087,0.01764705882352941,0.42554,0.9275000000000002,-0.9541299999999999,0.578,0.1,0.753,0.147,0.311,0.064,0.625,0.09091562615825302
19,0.264,0.17297297297297298,0.3239130434782609,0.3,1.052,0.7324324324324324,1.0978260869565217,1.6235294117647059,0.058,0.05405405405405406,0.06521739130434782,0.047058823529411764,0.41572000000000003,0.9246000000000004,-0.9841799999999999,0.553,0.099,0.75,0.151,0.316,0.064,0.62,0.09046104802746176
20,0.242,0.16216216216216217,0.2956521739130435,0.27058823529411763,1.056,0.7405405405405405,1.1,1.6235294117647059,0.053,0.062162162162162166,0.058695652173913045,0.01764705882352941,0.40014999999999995,0.9219500000000004,-0.9874299999999999,0.554,0.096,0.752,0.152,0.32,0.064,0.616,0.09000874278732444
21,0.246,0.13783783783783785,0.32608695652173914,0.2647058823529412,1.062,0.754054054054054,1.1021739130434782,1.6235294117647059,0.057,0.06486486486486487,0.06304347826086956,0.023529411764705882,0.38376,0.9191000000000006,-0.9886099999999999,0.552,0.091,0.756,0.153,0.326,0.064,0.61,0.08955869907338782
22,0.217,0.13243243243243244,0.28043478260869564,0.22941176470588234,1.044,0.7594594594594595,1.058695652173913,1.6235294117647059,0.048,0.04054054054054054,0.06739130434782609,0.011764705882352941,0.37682000000000004,0.9167000000000007,-0.9890599999999999,0.512,0.089,0.778,0.133,0.308,0.064,0.628,0.08911090557802087
23,0.175,0.13243243243243244,0.18695652173913044,0.23529411764705882,1.034,0.7675675675675676,1.0304347826086957,1.6235294117647059,0.029,0.02972972972972973,0.03260869565217391,0.01764705882352941,0.37501000000000007,0.9152500000000006,-1.00319,0.489,0.086,0.794,0.12,0.298,0.064,0.638,0.08866535105013076
24,0.179,0.13783783783783785,0.1826086956521739,0.25882352941176473,1.029,0.7594594594594595,1.0282608695652173,1.6176470588235294,0.036,0.043243243243243246,0.030434782608695653,0.03529411764705882,0.3712500000000001,0.9134500000000007,-0.98924,0.488,0.089,0.793,0.118,0.294,0.065,0.641,0.08822202429488012
25,0.146,0.10540540540540541,0.1565217391304348,0.20588235294117646,1.021,0.7513513513513513,1.0195652173913043,1.611764705882353,0.029,0.04054054054054054,0.02608695652173913,0.011764705882352941,0.37104,0.9120000000000005,-0.99179,0.467,0.092,0.795,0.113,0.287,0.066,0.647,0.08778091417340572
26,0.147,0.10540540540540541,0.16304347826086957,0.19411764705882353,1.022,0.7297297297297297,1.0391304347826087,1.611764705882353,0.029,0.03783783783783784,0.02826086956521739,0.011764705882352941,0.37022000000000005,0.9105500000000006,-0.99218,0.477,0.1,0.778,0.122,0.288,0.066,0.646,0.0873420096025387
27,0.141,0.10270270270270271,0.14347826086956522,0.21764705882352942,1.017,0.7378378378378379,1.0217391304347827,1.611764705882353,0.027,0.02972972972972973,0.030434782608695653,0.011764705882352941,0.3658100000000001,0.9102000000000008,-0.98559,0.463,0.097,0.789,0.114,0.283,0.066,0.651,0.086905299554526
28,0.13,0.10270270270270271,0.11956521739130435,0.21764705882352942,1.016,0.7351351351351352,1.0217391304347827,1.611764705882353,0.035,0.04054054054054054,0.03260869565217391,0.029411764705882353,0.3625200000000001,0.9084500000000008,-0.97771,0.462,0.098,0.788,0.114,0.282,0.066,0.652,0.08647077305675337
29,0.116,0.10810810810810811,0.10869565217391304,0.15294117647058825,1.029,0.7567567567567568,1.0347826086956522,1.6058823529411765,0.03,0.04864864864864865,0.021739130434782608,0.011764705882352941,0.35969999999999996,0.9079500000000007,-0.99618,0.486,0.09,0.791,0.119,0.296,0.067,0.637,0.0860384191914696
30,0.096,0.15135135135135136,0.05217391304347826,0.09411764705882353,1.032,0.7837837837837838,1.017391304347826,1.611764705882353,0.026,0.04864864864864865,0.015217391304347827,0.0058823529411764705,0.35512,0.9066500000000008,-1.00142,0.494,0.08,0.808,0.112,0.298,0.066,0.636,0.08560822709551225
