iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
46,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
47,0.02,0.02,0.02,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
48,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
49,0.019230769230769232,0.019230769230769232,0.019230769230769232,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
50,0.018867924528301886,0.018867924528301886,0.018867924528301886,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
51,0.018518518518518517,0.018518518518518517,0.018518518518518517,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
52,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
53,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
54,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
55,0.017241379310344827,0.017241379310344827,0.017241379310344827,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
56,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
57,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
58,0.01639344262295082,0.01639344262295082,0.01639344262295082,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
59,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
60,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
61,0.015625,0.015625,0.015625,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
62,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
63,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
64,0.014925373134328358,0.014925373134328358,0.014925373134328358,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
65,0.014705882352941176,0.014705882352941176,0.014705882352941176,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
66,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
67,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
68,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
69,0.013888888888888888,0.013888888888888888,0.013888888888888888,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
70,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
71,0.013513513513513514,0.013513513513513514,0.013513513513513514,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
72,0.013333333333333334,0.013333333333333334,0.013333333333333334,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
73,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
74,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
75,0.01282051282051282,0.01282051282051282,0.01282051282051282,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
76,0.012658227848101266,0.012658227848101266,0.012658227848101266,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
77,0.0125,0.0125,0.0125,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
78,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
79,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
80,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
81,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
82,0.011764705882352941,0.011764705882352941,0.011764705882352941,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
83,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
84,0.011494252873563218,0.011494252873563218,0.011494252873563218,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
