iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,0,1,1,LowVerify,1
1,0.5,0.75,0.75,0.4545454545454546,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.4545454545454546,0.2727272727272727,1,1,1,LowVerify,1
2,0.6,0.8,0.8,0.49999999999999994,0.25,0.25,0.25,0.49999999999999994,0.25,1,1,1,LowVerify,1
3,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.5384615384615385,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.3076923076923077,1,1,1,LowVerify,2
4,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.21428571428571427,0.4285714285714285,0.3571428571428571,1,1,1,LowVerify,2
5,0.75,0.875,0.875,0.6,0.2,0.2,0.2,0.39999999999999997,0.39999999999999997,1,1,1,LowVerify,2
6,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.625,0.1875,0.1875,0.1875,0.375,0.4375,1,1,1,LowVerify,2
7,0.8,0.9,0.9,0.6470588235294118,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.35294117647058826,0.4705882352941177,1,1,1,LowVerify,2
8,0.8181818181818182,0.9090909090909091,0.9090909090909091,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.33333333333333337,0.5,1,1,1,LowVerify,2
9,0.8333333333333334,0.9166666666666666,0.9166666666666666,0.6842105263157894,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.3157894736842105,0.5263157894736842,1,1,1,LowVerify,2
10,0.8461538461538461,0.9230769230769231,0.9230769230769231,0.7,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.3,0.55,1,1,1,LowVerify,2
11,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.7142857142857142,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.5714285714285714,1,1,1,LowVerify,2
12,0.8666666666666667,0.9333333333333333,0.9333333333333333,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.27272727272727276,0.5909090909090908,1,1,1,LowVerify,2
13,0.875,0.9375,0.9375,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.2608695652173913,0.608695652173913,1,1,1,LowVerify,2
14,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.75,0.125,0.125,0.125,0.24999999999999997,0.6249999999999999,1,1,1,LowVerify,2
15,0.8888888888888888,0.9444444444444444,0.9444444444444444,0.76,0.12,0.12,0.12,0.24000000000000002,0.6400000000000001,1,1,1,LowVerify,2
16,0.8947368421052632,0.9473684210526315,0.9473684210526315,0.7692307692307692,0.11538461538461539,0.11538461538461539,0.11538461538461539,0.23076923076923078,0.6538461538461537,1,1,1,LowVerify,2
17,0.9,0.95,0.95,0.7777777777777777,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.6666666666666665,1,1,1,LowVerify,2
18,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.7857142857142856,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.21428571428571425,0.6785714285714285,1,1,1,LowVerify,2
19,0.9090909090909091,0.9545454545454546,0.9545454545454546,0.7931034482758621,0.10344827586206896,0.10344827586206896,0.10344827586206896,0.20689655172413796,0.689655172413793,1,1,1,LowVerify,2
20,0.9130434782608695,0.9565217391304348,0.9565217391304348,0.7999999999999999,0.1,0.1,0.1,0.19999999999999998,0.7,1,1,1,LowVerify,2
21,0.9166666666666666,0.9583333333333334,0.9583333333333334,0.8064516129032258,0.0967741935483871,0.0967741935483871,0.0967741935483871,0.1935483870967742,0.7096774193548386,1,1,1,LowVerify,2
22,0.92,0.96,0.96,0.8125,0.09375,0.09375,0.09375,0.1875,0.71875,1,1,1,LowVerify,2
23,0.9230769230769231,0.9615384615384616,0.9615384615384616,0.8181818181818181,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.7272727272727272,1,1,1,LowVerify,2
24,0.9259259259259259,0.9629629629629629,0.9629629629629629,0.823529411764706,0.08823529411764705,0.08823529411764705,0.08823529411764705,0.17647058823529413,0.7352941176470589,1,1,1,LowVerify,2
25,0.9285714285714286,0.9642857142857143,0.9642857142857143,0.8285714285714285,0.08571428571428572,0.08571428571428572,0.08571428571428572,0.17142857142857143,0.7428571428571429,1,1,1,LowVerify,2
26,0.9310344827586207,0.9655172413793104,0.9655172413793104,0.8333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666669,0.75,1,1,1,LowVerify,2
27,0.9333333333333333,0.9666666666666667,0.9666666666666667,0.8378378378378379,0.08108108108108109,0.08108108108108109,0.08108108108108109,0.16216216216216217,0.7567567567567568,1,1,1,LowVerify,2
28,0.9354838709677419,0.967741935483871,0.967741935483871,0.8421052631578947,0.07894736842105263,0.07894736842105263,0.07894736842105263,0.15789473684210525,0.763157894736842,1,1,1,LowVerify,2
29,0.9375,0.96875,0.96875,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615383,0.7692307692307693,1,1,1,LowVerify,2
30,0.9393939393939394,0.9696969696969697,0.9696969696969697,0.85,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.15,0.775,1,1,1,LowVerify,2
31,0.9411764705882353,0.9705882352941176,0.9705882352941176,0.8536585365853658,0.07317073170731708,0.07317073170731708,0.07317073170731708,0.14634146341463414,0.7804878048780488,1,1,1,LowVerify,2
