seed,num_epochs_run,converged,convergence_epoch,final_average_ai_usage,final_average_global_trust,final_average_offer,final_detection_rate,final_correct_match_rate,final_overoffer_rate,final_underoffer_rate,final_average_candidate_loss,final_average_company_loss
7,100,False,,0.033,0.989000000000001,1.09,0.014,0.66,0.27,0.07,-1.07606,0.425
42,100,False,,0.032,0.9771500000000015,1.057,0.011,0.697,0.255,0.048,-1.0498599999999998,0.358
123,100,False,,0.025,0.985200000000002,1.067,0.01,0.629,0.289,0.082,-1.05984,0.461
1337,100,False,,0.033,0.9848500000000013,1.083,0.019,0.597,0.313,0.09,-1.06109,0.51
2024,100,False,,0.038,0.9764000000000012,1.026,0.023,0.598,0.349,0.053,-0.99897,0.473
