epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.304,0.25555555555555554,0.3157894736842105,0.34375,1.136,0.25555555555555554,1.3105263157894738,2.0,0.064,0.06666666666666667,0.07192982456140351,0.03125,0.9245,0.9968,-0.9965,0.492,0.201,0.462,0.337,0.246,0.0,0.754,0.0995
1,0.32,0.29259259259259257,0.3298245614035088,0.33125,1.101,0.3074074074074074,1.236842105263158,1.95625,0.092,0.12222222222222222,0.08596491228070176,0.0625,0.82842,0.9922000000000001,-0.9129199999999998,0.446,0.187,0.525,0.288,0.218,0.007,0.775,0.09900250000000001
2,0.305,0.24444444444444444,0.3333333333333333,0.30625,1.049,0.3037037037037037,1.1736842105263159,1.8625,0.06,0.08888888888888889,0.05087719298245614,0.04375,0.77755,0.9892000000000001,-0.93813,0.39,0.188,0.575,0.237,0.181,0.022,0.797,0.0985074875
3,0.298,0.22962962962962963,0.32105263157894737,0.33125,1.034,0.34814814814814815,1.1368421052631579,1.825,0.062,0.08518518518518518,0.056140350877192984,0.04375,0.7259300000000001,0.9861000000000002,-0.92038,0.368,0.176,0.614,0.21,0.172,0.028,0.8,0.09801495006250001
4,0.31,0.21481481481481482,0.34912280701754383,0.33125,1.017,0.37037037037037035,1.1105263157894736,1.775,0.067,0.08148148148148149,0.07192982456140351,0.025,0.6843599999999999,0.98275,-0.90843,0.356,0.17,0.643,0.187,0.163,0.036,0.801,0.09752487531218751
5,0.301,0.1962962962962963,0.3456140350877193,0.31875,0.999,0.37037037037037035,1.0859649122807018,1.75,0.061,0.08148148148148149,0.06140350877192982,0.025,0.6514099999999999,0.9797,-0.9050499999999999,0.331,0.17,0.661,0.169,0.149,0.04,0.811,0.09703725093562657
6,0.278,0.16666666666666666,0.3087719298245614,0.35625,0.974,0.36666666666666664,1.0473684210526315,1.7375,0.06,0.07037037037037037,0.05263157894736842,0.06875,0.6288699999999999,0.9767000000000001,-0.8914599999999999,0.282,0.171,0.684,0.145,0.126,0.042,0.832,0.09655206468094843
7,0.306,0.25555555555555554,0.3280701754385965,0.3125,0.99,0.46296296296296297,1.050877192982456,1.6625,0.047,0.044444444444444446,0.04912280701754386,0.04375,0.6155,0.97435,-0.92963,0.36,0.145,0.72,0.135,0.154,0.054,0.792,0.09606930435754368
8,0.311,0.24814814814814815,0.3280701754385965,0.35625,1.003,0.48148148148148145,1.0666666666666667,1.65625,0.048,0.07777777777777778,0.0456140350877193,0.00625,0.6036900000000001,0.9719500000000003,-0.94319,0.383,0.14,0.717,0.143,0.168,0.055,0.777,0.09558895783575597
9,0.305,0.24814814814814815,0.32456140350877194,0.33125,0.996,0.4777777777777778,1.0578947368421052,1.65,0.068,0.0962962962962963,0.06666666666666667,0.025,0.5828399999999999,0.9685500000000002,-0.90715,0.374,0.141,0.722,0.137,0.162,0.056,0.782,0.09511101304657718
