epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.206,0.12777777777777777,0.2523809523809524,0.24545454545454545,0.86,0.0,1.0,2.0,0.04,0.041666666666666664,0.05,0.01818181818181818,0.95242,0.9979999999999999,-0.77242,0.0,0.36,0.42,0.22,0.0,0.0,1.0,0.0995
1,0.179,0.04722222222222222,0.24523809523809523,0.2681818181818182,0.857,0.005555555555555556,1.0,1.9772727272727273,0.033,0.013888888888888888,0.04285714285714286,0.045454545454545456,0.91649,0.9963500000000002,-0.7880699999999999,0.012,0.358,0.427,0.215,0.002,0.005,0.993,0.09900250000000001
2,0.161,0.022222222222222223,0.23333333333333334,0.25,0.847,0.013888888888888888,1.0,1.9181818181818182,0.026,0.011111111111111112,0.04523809523809524,0.013636363636363636,0.8915299999999999,0.9953000000000001,-0.79604,0.041,0.355,0.443,0.202,0.005,0.018,0.977,0.0985074875
3,0.176,0.044444444444444446,0.25,0.25,0.842,0.016666666666666666,1.0,1.8909090909090909,0.031,0.008333333333333333,0.047619047619047616,0.03636363636363636,0.8670899999999999,0.9944000000000001,-0.7865599999999999,0.055,0.354,0.45,0.196,0.006,0.024,0.97,0.09801495006250001
4,0.181,0.058333333333333334,0.24285714285714285,0.2636363636363636,0.833,0.016666666666666666,1.0,1.85,0.023,0.019444444444444445,0.02142857142857143,0.031818181818181815,0.84681,0.9933500000000002,-0.78972,0.073,0.354,0.459,0.187,0.006,0.033,0.961,0.09752487531218751
5,0.164,0.05,0.22142857142857142,0.2409090909090909,0.831,0.022222222222222223,1.0,1.8318181818181818,0.045,0.022222222222222223,0.06666666666666667,0.04090909090909091,0.81668,0.9916000000000003,-0.7558699999999999,0.082,0.352,0.465,0.183,0.008,0.037,0.955,0.09703725093562657
6,0.167,0.03333333333333333,0.23095238095238096,0.2636363636363636,0.83,0.041666666666666664,1.0,1.7954545454545454,0.034,0.016666666666666666,0.05,0.031818181818181815,0.7958500000000001,0.9899000000000001,-0.7751699999999998,0.105,0.345,0.48,0.175,0.015,0.045,0.94,0.09655206468094843
7,0.176,0.06111111111111111,0.21666666666666667,0.2863636363636364,0.828,0.04722222222222222,1.0,1.7772727272727273,0.033,0.022222222222222223,0.04285714285714286,0.031818181818181815,0.7759000000000001,0.9892500000000002,-0.7750499999999999,0.116,0.343,0.486,0.171,0.017,0.049,0.934,0.09606930435754368
8,0.167,0.06388888888888888,0.2119047619047619,0.25,0.831,0.06388888888888888,1.0,1.7636363636363637,0.03,0.013888888888888888,0.04523809523809524,0.02727272727272727,0.76479,0.9877500000000003,-0.78989,0.131,0.337,0.495,0.168,0.023,0.052,0.925,0.09558895783575597
9,0.153,0.03888888888888889,0.2,0.25,0.829,0.06944444444444445,1.0,1.7454545454545454,0.022,0.002777777777777778,0.03333333333333333,0.031818181818181815,0.75856,0.9878500000000001,-0.80077,0.138,0.335,0.501,0.164,0.025,0.056,0.919,0.09511101304657718
