epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.231,0.09032258064516129,0.35714285714285715,0.14,1.083,0.09032258064516129,1.336734693877551,2.0,0.102,0.07419354838709677,0.1510204081632653,0.025,0.88136,0.9949,-0.8623600000000001,0.386,0.282,0.353,0.365,0.193,0.0,0.807,0.0995
1,0.206,0.03870967741935484,0.3306122448979592,0.16,0.971,0.04838709677419355,1.146938775510204,1.97,0.068,0.035483870967741936,0.10612244897959183,0.025,0.8224,0.9915,-0.84404,0.183,0.295,0.439,0.266,0.087,0.006,0.907,0.09900250000000001
2,0.209,0.04838709677419355,0.34285714285714286,0.13,0.94,0.06774193548387097,1.0877551020408163,1.93,0.088,0.03870967741935484,0.13877551020408163,0.04,0.7693499999999999,0.9871000000000001,-0.7989499999999999,0.15,0.289,0.482,0.229,0.064,0.014,0.922,0.0985074875
3,0.216,0.04516129032258064,0.3448979591836735,0.165,0.914,0.0967741935483871,1.036734693877551,1.88,0.088,0.025806451612903226,0.1489795918367347,0.035,0.7335499999999999,0.9827000000000001,-0.7901999999999999,0.128,0.28,0.526,0.194,0.048,0.024,0.928,0.09801495006250001
4,0.209,0.07419354838709677,0.32653061224489793,0.13,0.92,0.13870967741935483,1.0326530612244897,1.855,0.073,0.05161290322580645,0.10816326530612246,0.02,0.70436,0.97905,-0.8178099999999999,0.156,0.267,0.546,0.187,0.059,0.029,0.912,0.09752487531218751
5,0.197,0.054838709677419356,0.3142857142857143,0.13,0.932,0.16774193548387098,1.042857142857143,1.845,0.076,0.035483870967741936,0.12653061224489795,0.015,0.6760799999999999,0.9752500000000002,-0.8277199999999999,0.173,0.258,0.552,0.19,0.073,0.031,0.896,0.09703725093562657
6,0.192,0.06129032258064516,0.2979591836734694,0.135,0.936,0.1935483870967742,1.0448979591836736,1.82,0.068,0.03870967741935484,0.10408163265306122,0.025,0.65105,0.9718500000000001,-0.8429699999999999,0.195,0.25,0.564,0.186,0.082,0.036,0.882,0.09655206468094843
7,0.178,0.04516129032258064,0.28775510204081634,0.115,0.932,0.2161290322580645,1.026530612244898,1.81,0.079,0.035483870967741936,0.12448979591836734,0.035,0.62898,0.9679000000000002,-0.8309300000000001,0.183,0.243,0.582,0.175,0.08,0.038,0.882,0.09606930435754368
8,0.16,0.041935483870967745,0.2653061224489796,0.085,0.931,0.23870967741935484,1.0204081632653061,1.785,0.064,0.025806451612903226,0.10816326530612246,0.015,0.61891,0.9647000000000002,-0.85693,0.193,0.236,0.597,0.167,0.084,0.043,0.873,0.09558895783575597
9,0.146,0.041935483870967745,0.23265306122448978,0.095,0.938,0.267741935483871,1.0183673469387755,1.78,0.067,0.035483870967741936,0.10816326530612246,0.015,0.60668,0.9613500000000001,-0.85877,0.202,0.227,0.608,0.165,0.092,0.044,0.864,0.09511101304657718
10,0.145,0.05806451612903226,0.21428571428571427,0.11,0.951,0.3064516129032258,1.0224489795918368,1.775,0.061,0.02903225806451613,0.09387755102040816,0.03,0.5928800000000001,0.9583000000000002,-0.8762,0.225,0.215,0.619,0.166,0.106,0.045,0.849,0.09463545798134429
11,0.129,0.041935483870967745,0.21020408163265306,0.065,0.955,0.3193548387096774,1.0244897959183674,1.77,0.055,0.035483870967741936,0.08571428571428572,0.01,0.58173,0.9555500000000003,-0.8888499999999999,0.228,0.211,0.623,0.166,0.111,0.046,0.843,0.09416228069143756
12,0.119,0.041935483870967745,0.18979591836734694,0.065,0.965,0.34838709677419355,1.0285714285714285,1.765,0.041,0.02258064516129032,0.06326530612244897,0.015,0.5735399999999999,0.9535000000000003,-0.9158099999999999,0.243,0.202,0.631,0.167,0.122,0.047,0.831,0.09369146928798038
13,0.114,0.03225806451612903,0.1816326530612245,0.075,0.961,0.3419354838709677,1.0285714285714285,1.755,0.041,0.01935483870967742,0.0673469387755102,0.01,0.56607,0.9514500000000004,-0.91253,0.242,0.204,0.631,0.165,0.12,0.049,0.831,0.09322301194154048
14,0.109,0.08709677419354839,0.1306122448979592,0.09,0.971,0.38387096774193546,1.0204081632653061,1.76,0.047,0.05161290322580645,0.05510204081632653,0.02,0.5544,0.9491000000000003,-0.91233,0.262,0.191,0.647,0.162,0.129,0.048,0.823,0.09275689688183278
15,0.079,0.05161290322580645,0.09183673469387756,0.09,0.979,0.4032258064516129,1.026530612244898,1.755,0.03,0.035483870967741936,0.0326530612244898,0.015,0.54374,0.9476000000000002,-0.93834,0.265,0.185,0.651,0.164,0.138,0.049,0.813,0.09229311239742362
16,0.055,0.03225806451612903,0.0653061224489796,0.065,0.979,0.4064516129032258,1.0204081632653061,1.765,0.019,0.02258064516129032,0.02040816326530612,0.01,0.53801,0.9486500000000004,-0.95427,0.25,0.184,0.653,0.163,0.136,0.047,0.817,0.0918316468354365
17,0.054,0.05806451612903226,0.061224489795918366,0.03,0.991,0.4483870967741935,1.0183673469387755,1.765,0.021,0.035483870967741936,0.018367346938775512,0.005,0.52878,0.9496000000000004,-0.96077,0.269,0.171,0.667,0.162,0.148,0.047,0.805,0.09137248860125932
18,0.054,0.041935483870967745,0.0673469387755102,0.04,1.005,0.47419354838709676,1.0244897959183674,1.78,0.024,0.035483870967741936,0.02040816326530612,0.015,0.51907,0.9504000000000005,-0.97129,0.272,0.163,0.669,0.168,0.159,0.044,0.797,0.09091562615825302
19,0.06,0.04516129032258064,0.0836734693877551,0.025,1.016,0.5129032258064516,1.026530612244898,1.77,0.028,0.02903225806451613,0.03469387755102041,0.01,0.50518,0.9500000000000004,-0.9741099999999999,0.291,0.151,0.682,0.167,0.172,0.046,0.782,0.09046104802746176
20,0.055,0.04516129032258064,0.061224489795918366,0.055,1.021,0.5451612903225806,1.0142857142857142,1.775,0.022,0.03870967741935484,0.018367346938775512,0.005,0.49753,0.9509000000000004,-0.99135,0.287,0.141,0.697,0.162,0.176,0.045,0.779,0.09000874278732444
21,0.046,0.041935483870967745,0.053061224489795916,0.035,1.026,0.5741935483870968,1.006122448979592,1.775,0.019,0.025806451612903226,0.018367346938775512,0.01,0.49506,0.9509500000000004,-1.00453,0.287,0.132,0.71,0.158,0.181,0.045,0.774,0.08955869907338782
22,0.072,0.054838709677419356,0.09591836734693877,0.04,1.041,0.5774193548387097,1.0326530612244897,1.78,0.032,0.02258064516129032,0.04897959183673469,0.005,0.48402,0.9493500000000005,-0.99796,0.316,0.131,0.697,0.172,0.195,0.044,0.761,0.08911090557802087
23,0.039,0.041935483870967745,0.04081632653061224,0.03,1.028,0.567741935483871,1.0122448979591836,1.78,0.018,0.035483870967741936,0.014285714285714285,0.0,0.48145000000000004,0.9494500000000006,-1.00743,0.289,0.134,0.704,0.162,0.182,0.044,0.774,0.08866535105013076
24,0.047,0.02903225806451613,0.05714285714285714,0.05,1.029,0.5548387096774193,1.026530612244898,1.77,0.016,0.016129032258064516,0.014285714285714285,0.02,0.47597,0.9516500000000006,-1.00752,0.299,0.138,0.695,0.167,0.185,0.046,0.769,0.08822202429488012
25,0.037,0.04516129032258064,0.024489795918367346,0.055,1.023,0.5741935483870968,1.0122448979591836,1.745,0.019,0.03225806451612903,0.014285714285714285,0.01,0.46920000000000006,0.9507000000000007,-0.99723,0.306,0.132,0.713,0.155,0.184,0.051,0.765,0.08778091417340572
26,0.048,0.05806451612903226,0.05102040816326531,0.025,1.027,0.5870967741935483,1.0163265306122449,1.735,0.023,0.041935483870967745,0.018367346938775512,0.005,0.46164000000000005,0.9505500000000007,-0.99644,0.322,0.128,0.717,0.155,0.19,0.053,0.757,0.0873420096025387
27,0.054,0.035483870967741936,0.0653061224489796,0.055,1.039,0.6,1.0285714285714285,1.745,0.016,0.016129032258064516,0.02040816326530612,0.005,0.45949,0.9537500000000007,-1.02085,0.327,0.124,0.713,0.163,0.2,0.051,0.749,0.086905299554526
28,0.041,0.03225806451612903,0.044897959183673466,0.045,1.031,0.5967741935483871,1.0163265306122449,1.74,0.019,0.02258064516129032,0.012244897959183673,0.03,0.44917000000000007,0.9558000000000006,-1.00168,0.315,0.125,0.719,0.156,0.193,0.052,0.755,0.08647077305675337
29,0.055,0.05161290322580645,0.0673469387755102,0.03,1.039,0.6290322580645161,1.0285714285714285,1.7,0.025,0.04516129032258064,0.02040816326530612,0.005,0.43982000000000004,0.9555500000000008,-1.00465,0.359,0.115,0.731,0.154,0.209,0.06,0.731,0.0860384191914696
30,0.039,0.035483870967741936,0.04081632653061224,0.04,1.032,0.6290322580645161,1.0142857142857142,1.7,0.018,0.025806451612903226,0.0163265306122449,0.01,0.43495000000000006,0.9546500000000007,-1.0091299999999999,0.34,0.115,0.738,0.147,0.202,0.06,0.738,0.08560822709551225
31,0.052,0.04838709677419355,0.05510204081632653,0.05,1.038,0.6387096774193548,1.0285714285714285,1.68,0.02,0.035483870967741936,0.014285714285714285,0.01,0.42927,0.9566500000000009,-1.0123199999999999,0.369,0.112,0.738,0.15,0.212,0.064,0.724,0.08518018596003468
