epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.271,0.25,0.30714285714285716,0.23636363636363636,1.075,0.25,1.3,1.9954545454545454,0.069,0.09444444444444444,0.06428571428571428,0.03636363636363636,0.91871,0.9965499999999998,-0.92471,0.434,0.27,0.385,0.345,0.216,0.001,0.783,0.0995
1,0.252,0.19722222222222222,0.3,0.25,1.019,0.21944444444444444,1.2261904761904763,1.9318181818181819,0.071,0.075,0.0761904761904762,0.05454545454545454,0.8442999999999999,0.993,-0.87359,0.37,0.281,0.419,0.3,0.174,0.015,0.811,0.09900250000000001
2,0.274,0.23055555555555557,0.3142857142857143,0.2681818181818182,1.009,0.28055555555555556,1.180952380952381,1.8727272727272728,0.043,0.06111111111111111,0.03571428571428571,0.02727272727272727,0.80741,0.9908500000000002,-0.9291099999999999,0.392,0.259,0.473,0.268,0.177,0.028,0.795,0.0985074875
3,0.326,0.36944444444444446,0.32857142857142857,0.25,1.037,0.41388888888888886,1.1428571428571428,1.8545454545454545,0.079,0.11944444444444445,0.0761904761904762,0.01818181818181818,0.74437,0.9869,-0.89496,0.466,0.211,0.541,0.248,0.209,0.032,0.759,0.09801495006250001
4,0.361,0.4777777777777778,0.31666666666666665,0.2545454545454545,1.059,0.5472222222222223,1.0857142857142856,1.8454545454545455,0.098,0.16666666666666666,0.07380952380952381,0.031818181818181815,0.67828,0.9820000000000002,-0.89491,0.509,0.163,0.615,0.222,0.233,0.034,0.733,0.09752487531218751
5,0.358,0.49166666666666664,0.3047619047619048,0.2409090909090909,1.066,0.6138888888888889,1.0571428571428572,1.8227272727272728,0.091,0.14444444444444443,0.07380952380952381,0.03636363636363636,0.6309,0.9774499999999999,-0.92762,0.524,0.139,0.656,0.205,0.245,0.039,0.716,0.09703725093562657
6,0.372,0.5194444444444445,0.30238095238095236,0.2636363636363636,1.062,0.6416666666666667,1.0333333333333334,1.8045454545454545,0.101,0.20277777777777778,0.04523809523809524,0.04090909090909091,0.58848,0.9724000000000002,-0.91858,0.532,0.129,0.68,0.191,0.245,0.043,0.712,0.09655206468094843
7,0.355,0.475,0.30714285714285716,0.25,1.051,0.6361111111111111,1.026190476190476,1.7772727272727273,0.074,0.13333333333333333,0.05238095238095238,0.01818181818181818,0.56692,0.9687000000000001,-0.9554400000000001,0.52,0.131,0.687,0.182,0.24,0.049,0.711,0.09606930435754368
8,0.358,0.46111111111111114,0.31666666666666665,0.2681818181818182,1.061,0.6527777777777778,1.0404761904761906,1.768181818181818,0.081,0.1361111111111111,0.06666666666666667,0.01818181818181818,0.5488799999999999,0.9646500000000003,-0.9619599999999999,0.537,0.125,0.689,0.186,0.252,0.051,0.697,0.09558895783575597
9,0.36,0.46944444444444444,0.3357142857142857,0.22727272727272727,1.07,0.675,1.05,1.7545454545454546,0.09,0.17222222222222222,0.05476190476190476,0.022727272727272728,0.53658,0.9601500000000003,-0.9676999999999999,0.562,0.117,0.696,0.187,0.264,0.054,0.682,0.09511101304657718
10,0.363,0.45555555555555555,0.35714285714285715,0.22272727272727272,1.083,0.6833333333333333,1.0761904761904761,1.75,0.089,0.15833333333333333,0.06666666666666667,0.01818181818181818,0.51811,0.9557000000000004,-0.97553,0.584,0.114,0.689,0.197,0.278,0.055,0.667,0.09463545798134429
11,0.35,0.45555555555555555,0.3404761904761905,0.19545454545454546,1.076,0.6972222222222222,1.0523809523809524,1.740909090909091,0.093,0.14166666666666666,0.08333333333333333,0.031818181818181815,0.50043,0.9510500000000002,-0.96532,0.573,0.109,0.706,0.185,0.273,0.057,0.67,0.09416228069143756
12,0.365,0.48055555555555557,0.3523809523809524,0.2,1.086,0.7388888888888889,1.042857142857143,1.7363636363636363,0.101,0.18333333333333332,0.0761904761904762,0.013636363636363636,0.48949000000000004,0.9460000000000003,-0.9740599999999999,0.591,0.094,0.726,0.18,0.284,0.058,0.658,0.09369146928798038
13,0.348,0.45,0.3595238095238095,0.1590909090909091,1.094,0.7388888888888889,1.0642857142857143,1.731818181818182,0.082,0.1527777777777778,0.05952380952380952,0.00909090909090909,0.47914999999999996,0.9419000000000004,-1.00166,0.6,0.094,0.718,0.188,0.293,0.059,0.648,0.09322301194154048
14,0.329,0.44166666666666665,0.33095238095238094,0.1409090909090909,1.087,0.7416666666666667,1.0452380952380953,1.731818181818182,0.093,0.15,0.08095238095238096,0.022727272727272728,0.46769,0.9372500000000004,-0.98254,0.582,0.093,0.727,0.18,0.286,0.059,0.655,0.09275689688183278
15,0.304,0.41944444444444445,0.28095238095238095,0.1590909090909091,1.077,0.75,1.0142857142857142,1.731818181818182,0.078,0.14722222222222223,0.05476190476190476,0.00909090909090909,0.46695,0.9333500000000005,-0.99826,0.551,0.09,0.743,0.167,0.276,0.059,0.665,0.09229311239742362
16,0.283,0.35833333333333334,0.30238095238095236,0.12272727272727273,1.088,0.7472222222222222,1.0380952380952382,1.740909090909091,0.064,0.10555555555555556,0.05476190476190476,0.013636363636363636,0.45868,0.9301500000000005,-1.01573,0.544,0.091,0.73,0.179,0.285,0.057,0.658,0.0918316468354365
17,0.274,0.35833333333333334,0.2785714285714286,0.12727272727272726,1.082,0.7527777777777778,1.0238095238095237,1.731818181818182,0.06,0.1,0.05476190476190476,0.004545454545454545,0.45898,0.9271500000000004,-1.0223,0.538,0.089,0.74,0.171,0.281,0.059,0.66,0.09137248860125932
18,0.261,0.3416666666666667,0.27380952380952384,0.10454545454545454,1.091,0.7666666666666667,1.0309523809523808,1.7363636363636363,0.063,0.125,0.03571428571428571,0.013636363636363636,0.45772,0.9240000000000006,-1.02674,0.541,0.084,0.741,0.175,0.289,0.058,0.653,0.09091562615825302
19,0.258,0.31666666666666665,0.27380952380952384,0.1318181818181818,1.096,0.7666666666666667,1.042857142857143,1.7363636363636363,0.049,0.08055555555555556,0.04285714285714286,0.00909090909090909,0.45625,0.9215500000000004,-1.0455300000000003,0.542,0.084,0.736,0.18,0.294,0.058,0.648,0.09046104802746176
20,0.264,0.3,0.29523809523809524,0.14545454545454545,1.098,0.775,1.0452380952380953,1.7272727272727273,0.068,0.09722222222222222,0.0761904761904762,0.004545454545454545,0.44815000000000005,0.9181500000000005,-1.0219,0.545,0.081,0.74,0.179,0.298,0.06,0.642,0.09000874278732444
21,0.264,0.3277777777777778,0.3047619047619048,0.08181818181818182,1.117,0.7944444444444444,1.0714285714285714,1.731818181818182,0.075,0.11944444444444445,0.06666666666666667,0.01818181818181818,0.43758,0.9144000000000005,-1.0314299999999998,0.582,0.074,0.735,0.191,0.316,0.059,0.625,0.08955869907338782
22,0.232,0.275,0.2642857142857143,0.1,1.114,0.7944444444444444,1.0642857142857143,1.731818181818182,0.064,0.11388888888888889,0.05,0.00909090909090909,0.43493,0.9112000000000006,-1.04735,0.557,0.074,0.738,0.188,0.313,0.059,0.628,0.08911090557802087
