epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.339,0.328125,0.3711111111111111,0.29130434782608694,1.177,0.328125,1.36,2.0,0.074,0.096875,0.08222222222222222,0.02608695652173913,0.91201,0.9963,-1.01501,0.534,0.215,0.393,0.392,0.267,0.0,0.733,0.0995
1,0.316,0.278125,0.36444444444444446,0.27391304347826084,1.12,0.3,1.268888888888889,1.9695652173913043,0.064,0.103125,0.06666666666666667,0.004347826086956522,0.84625,0.9930999999999999,-0.9902399999999999,0.441,0.224,0.432,0.344,0.217,0.007,0.776,0.09900250000000001
2,0.316,0.25625,0.37333333333333335,0.28695652173913044,1.086,0.30625,1.1933333333333334,1.9608695652173913,0.071,0.078125,0.08444444444444445,0.034782608695652174,0.78425,0.98955,-0.953,0.372,0.222,0.47,0.308,0.185,0.009,0.806,0.0985074875
3,0.332,0.315625,0.3688888888888889,0.2826086956521739,1.078,0.384375,1.1377777777777778,1.9260869565217391,0.073,0.109375,0.06888888888888889,0.030434782608695653,0.7279699999999999,0.9859000000000002,-0.9487199999999999,0.382,0.197,0.528,0.275,0.185,0.017,0.798,0.09801495006250001
4,0.336,0.340625,0.3711111111111111,0.2608695652173913,1.069,0.434375,1.0955555555555556,1.9,0.074,0.10625,0.08222222222222222,0.013043478260869565,0.6893699999999999,0.9822000000000003,-0.9563999999999999,0.38,0.181,0.569,0.25,0.182,0.023,0.795,0.09752487531218751
5,0.359,0.375,0.38,0.2956521739130435,1.064,0.475,1.0644444444444445,1.882608695652174,0.078,0.1125,0.07333333333333333,0.0391304347826087,0.6534300000000001,0.9783000000000003,-0.9500599999999999,0.384,0.168,0.6,0.232,0.181,0.027,0.792,0.09703725093562657
6,0.375,0.446875,0.36444444444444446,0.2956521739130435,1.07,0.56875,1.0422222222222222,1.8217391304347825,0.089,0.14375,0.08,0.030434782608695653,0.6144200000000001,0.9738500000000002,-0.94199,0.445,0.138,0.654,0.208,0.201,0.041,0.758,0.09655206468094843
7,0.371,0.4375,0.3711111111111111,0.2782608695652174,1.071,0.58125,1.0466666666666666,1.8,0.067,0.125,0.05333333333333334,0.013043478260869565,0.5955799999999999,0.9705000000000001,-0.9851599999999999,0.46,0.134,0.661,0.205,0.207,0.046,0.747,0.09606930435754368
8,0.386,0.45625,0.38222222222222224,0.2956521739130435,1.082,0.625,1.0444444444444445,1.791304347826087,0.097,0.184375,0.08,0.008695652173913044,0.5725699999999999,0.9656500000000003,-0.9619899999999999,0.482,0.12,0.678,0.202,0.22,0.048,0.732,0.09558895783575597
9,0.381,0.459375,0.37333333333333335,0.28695652173913044,1.092,0.665625,1.0422222222222222,1.7826086956521738,0.102,0.190625,0.08666666666666667,0.008695652173913044,0.55438,0.9605500000000002,-0.97181,0.498,0.107,0.694,0.199,0.232,0.05,0.718,0.09511101304657718
10,0.38,0.434375,0.4088888888888889,0.24782608695652175,1.105,0.684375,1.0577777777777777,1.7826086956521738,0.082,0.165625,0.05333333333333334,0.021739130434782608,0.5308299999999999,0.9564500000000002,-0.99945,0.51,0.101,0.693,0.206,0.245,0.05,0.705,0.09463545798134429
