epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.285,0.1413793103448276,0.33157894736842103,0.39285714285714285,1.076,0.1413793103448276,1.3245614035087718,2.0,0.101,0.10344827586206896,0.11052631578947368,0.05714285714285714,0.88079,0.99495,-0.8557899999999999,0.452,0.249,0.426,0.325,0.226,0.0,0.774,0.0995
1,0.256,0.06206896551724138,0.3263157894736842,0.37142857142857144,0.967,0.1,1.1771929824561405,1.9071428571428573,0.108,0.05172413793103448,0.14035087719298245,0.09285714285714286,0.78003,0.9895500000000002,-0.75824,0.275,0.261,0.511,0.228,0.13,0.013,0.857,0.09900250000000001
2,0.253,0.05172413793103448,0.33157894736842103,0.35,0.899,0.10344827586206896,1.080701754385965,1.8071428571428572,0.089,0.034482758620689655,0.12105263157894737,0.07142857142857142,0.72719,0.9851000000000001,-0.7571599999999999,0.191,0.26,0.581,0.159,0.076,0.027,0.897,0.0985074875
3,0.246,0.04482758620689655,0.3192982456140351,0.36428571428571427,0.879,0.12413793103448276,1.050877192982456,1.7428571428571429,0.111,0.034482758620689655,0.14736842105263157,0.12142857142857143,0.6837000000000001,0.97955,-0.72451,0.179,0.254,0.613,0.133,0.065,0.036,0.899,0.09801495006250001
4,0.243,0.041379310344827586,0.3175438596491228,0.35714285714285715,0.859,0.1310344827586207,1.0368421052631578,1.6428571428571428,0.099,0.03103448275862069,0.13508771929824562,0.09285714285714286,0.6527999999999999,0.9746,-0.7290999999999999,0.192,0.252,0.637,0.111,0.059,0.05,0.891,0.09752487531218751
5,0.22,0.03103448275862069,0.28421052631578947,0.35,0.856,0.1413793103448276,1.0298245614035089,1.6285714285714286,0.07,0.020689655172413793,0.10350877192982456,0.03571428571428571,0.6390399999999999,0.9711000000000001,-0.7722399999999999,0.188,0.249,0.646,0.105,0.058,0.052,0.89,0.09703725093562657
6,0.223,0.06206896551724138,0.2771929824561403,0.3357142857142857,0.871,0.1896551724137931,1.0350877192982457,1.6142857142857143,0.092,0.034482758620689655,0.12456140350877193,0.07857142857142857,0.61648,0.9665000000000001,-0.7564399999999999,0.221,0.235,0.659,0.106,0.075,0.054,0.871,0.09655206468094843
7,0.18,0.041379310344827586,0.22631578947368422,0.2785714285714286,0.869,0.2,1.0280701754385966,1.6071428571428572,0.065,0.02413793103448276,0.08771929824561403,0.05714285714285714,0.60378,0.9632500000000002,-0.7913,0.212,0.232,0.667,0.101,0.074,0.055,0.871,0.09606930435754368
8,0.177,0.03793103448275862,0.21228070175438596,0.32142857142857145,0.865,0.22413793103448276,1.0105263157894737,1.6,0.071,0.03103448275862069,0.08771929824561403,0.08571428571428572,0.59407,0.9597000000000001,-0.7842899999999999,0.2,0.225,0.685,0.09,0.071,0.056,0.873,0.09558895783575597
9,0.177,0.05517241379310345,0.21578947368421053,0.2714285714285714,0.892,0.2655172413793103,1.0403508771929824,1.5857142857142856,0.071,0.03793103448275862,0.09298245614035087,0.05,0.5728199999999999,0.9561500000000003,-0.7997499999999998,0.255,0.213,0.682,0.105,0.1,0.058,0.842,0.09511101304657718
10,0.16,0.06206896551724138,0.18596491228070175,0.2571428571428571,0.898,0.30344827586206896,1.0333333333333334,1.5785714285714285,0.06,0.041379310344827586,0.07017543859649122,0.05714285714285714,0.5559299999999999,0.9531500000000003,-0.82111,0.262,0.202,0.698,0.1,0.107,0.059,0.834,0.09463545798134429
11,0.163,0.06551724137931035,0.19649122807017544,0.22857142857142856,0.919,0.35517241379310344,1.0473684210526315,1.5642857142857143,0.066,0.05517241379310345,0.06491228070175438,0.09285714285714286,0.53838,0.9498500000000002,-0.8354499999999999,0.298,0.187,0.707,0.106,0.13,0.061,0.809,0.09416228069143756
12,0.134,0.04482758620689655,0.17543859649122806,0.15,0.917,0.3793103448275862,1.0315789473684212,1.5642857142857143,0.054,0.034482758620689655,0.06315789473684211,0.05714285714285714,0.5258999999999999,0.9471500000000003,-0.8505199999999999,0.281,0.18,0.723,0.097,0.128,0.061,0.811,0.09369146928798038
13,0.135,0.05517241379310345,0.18070175438596492,0.11428571428571428,0.929,0.4,1.0456140350877192,1.55,0.055,0.04827586206896552,0.06666666666666667,0.02142857142857143,0.50483,0.9444000000000002,-0.85293,0.31,0.174,0.723,0.103,0.142,0.063,0.795,0.09322301194154048
14,0.118,0.06896551724137931,0.15263157894736842,0.07857142857142857,0.935,0.4586206896551724,1.0280701754385966,1.542857142857143,0.051,0.03793103448275862,0.06666666666666667,0.014285714285714285,0.49106,0.9418500000000003,-0.87023,0.313,0.157,0.751,0.092,0.149,0.064,0.787,0.09275689688183278
