iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.4,0.30000000000000004,0,0,0,LowVerify,1
1,0.25,0.25,0.25,0.4545454545454546,0.2727272727272727,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.2727272727272727,0,0,0,LowVerify,0
2,0.2,0.2,0.2,0.49999999999999994,0.25,0.25,0.41666666666666663,0.3333333333333333,0.25,0,0,0,LowVerify,0
3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5384615384615385,0.23076923076923078,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.23076923076923078,0,0,0,LowVerify,0
4,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.5,0.2857142857142857,0.21428571428571427,0,0,0,LowVerify,0
5,0.125,0.125,0.125,0.6,0.2,0.2,0.5333333333333333,0.26666666666666666,0.2,0,0,0,LowVerify,0
6,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.625,0.1875,0.1875,0.5625,0.25,0.1875,0,0,0,LowVerify,0
7,0.1,0.1,0.1,0.6470588235294118,0.1764705882352941,0.1764705882352941,0.5882352941176471,0.23529411764705882,0.1764705882352941,0,0,0,LowVerify,0
8,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.6666666666666667,0.16666666666666666,0.16666666666666666,0.6111111111111112,0.2222222222222222,0.16666666666666666,0,0,0,LowVerify,0
9,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.6842105263157894,0.15789473684210525,0.15789473684210525,0.631578947368421,0.21052631578947367,0.15789473684210525,0,0,0,LowVerify,0
10,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.7000000000000001,0.15000000000000002,0.15000000000000002,0.6500000000000001,0.2,0.15000000000000002,0,1,0,LowVerify,0
11,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.7142857142857142,0.14285714285714285,0.14285714285714285,0.6666666666666667,0.19047619047619047,0.14285714285714285,0,1,0,LowVerify,0
12,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.7272727272727273,0.13636363636363635,0.13636363636363635,0.6818181818181818,0.18181818181818182,0.13636363636363635,0,1,0,LowVerify,0
13,0.0625,0.3125,0.0625,0.7391304347826086,0.13043478260869565,0.13043478260869565,0.6956521739130435,0.17391304347826086,0.13043478260869565,0,1,0,LowVerify,0
14,0.11764705882352941,0.35294117647058826,0.058823529411764705,0.75,0.125,0.125,0.7083333333333333,0.16666666666666666,0.125,1,1,0,LowVerify,0
15,0.16666666666666666,0.3888888888888889,0.05555555555555555,0.76,0.12,0.12,0.7200000000000001,0.16,0.12,1,1,0,LowVerify,0
16,0.21052631578947367,0.42105263157894735,0.05263157894736842,0.7692307692307693,0.11538461538461539,0.11538461538461539,0.7307692307692307,0.15384615384615385,0.11538461538461539,1,1,0,LowVerify,0
17,0.25,0.45,0.05,0.7777777777777777,0.1111111111111111,0.1111111111111111,0.7407407407407407,0.14814814814814814,0.1111111111111111,1,1,0,LowVerify,0
18,0.2857142857142857,0.47619047619047616,0.047619047619047616,0.7857142857142857,0.10714285714285714,0.10714285714285714,0.7142857142857143,0.17857142857142855,0.10714285714285714,1,1,0,LowVerify,1
19,0.3181818181818182,0.5,0.045454545454545456,0.793103448275862,0.10344827586206896,0.10344827586206896,0.689655172413793,0.20689655172413796,0.10344827586206896,1,1,0,LowVerify,1
20,0.34782608695652173,0.5217391304347826,0.043478260869565216,0.7999999999999999,0.1,0.1,0.6666666666666666,0.2333333333333333,0.1,1,1,0,LowVerify,1
21,0.375,0.5416666666666666,0.041666666666666664,0.8064516129032258,0.0967741935483871,0.0967741935483871,0.6451612903225806,0.25806451612903225,0.0967741935483871,1,1,0,LowVerify,1
22,0.4,0.56,0.04,0.8125,0.09375,0.09375,0.625,0.28125,0.09375,1,1,0,LowVerify,1
23,0.4230769230769231,0.5769230769230769,0.038461538461538464,0.8181818181818181,0.09090909090909091,0.09090909090909091,0.606060606060606,0.303030303030303,0.09090909090909091,1,1,0,LowVerify,1
24,0.4444444444444444,0.5925925925925926,0.037037037037037035,0.823529411764706,0.08823529411764705,0.08823529411764705,0.5882352941176471,0.3235294117647059,0.08823529411764705,1,1,0,LowVerify,1
25,0.4642857142857143,0.6071428571428571,0.07142857142857142,0.8285714285714285,0.08571428571428572,0.08571428571428572,0.5714285714285714,0.34285714285714286,0.08571428571428572,1,1,1,LowVerify,1
26,0.4827586206896552,0.6206896551724138,0.10344827586206896,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.5555555555555556,0.36111111111111116,0.08333333333333333,1,1,1,LowVerify,1
27,0.5,0.6333333333333333,0.1,0.8378378378378379,0.08108108108108109,0.08108108108108109,0.5405405405405406,0.3783783783783784,0.08108108108108109,1,1,0,LowVerify,1
28,0.5161290322580645,0.6451612903225806,0.12903225806451613,0.8421052631578947,0.07894736842105263,0.07894736842105263,0.5263157894736842,0.39473684210526316,0.07894736842105263,1,1,1,LowVerify,1
29,0.53125,0.65625,0.15625,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.5128205128205129,0.4102564102564103,0.07692307692307693,1,1,1,LowVerify,1
30,0.5454545454545454,0.6666666666666666,0.18181818181818182,0.85,0.07500000000000001,0.07500000000000001,0.5,0.42500000000000004,0.07500000000000001,1,1,1,LowVerify,1
31,0.5588235294117647,0.6764705882352942,0.20588235294117646,0.853658536585366,0.07317073170731708,0.07317073170731708,0.48780487804878053,0.4390243902439025,0.07317073170731708,1,1,1,LowVerify,1
32,0.5714285714285714,0.6857142857142857,0.22857142857142856,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.47619047619047616,0.45238095238095244,0.07142857142857142,1,1,1,LowVerify,1
33,0.5833333333333334,0.6944444444444444,0.25,0.8604651162790699,0.06976744186046512,0.06976744186046512,0.46511627906976744,0.46511627906976744,0.06976744186046512,1,1,1,LowVerify,1
34,0.5945945945945946,0.7027027027027027,0.2702702702702703,0.8636363636363636,0.06818181818181818,0.06818181818181818,0.45454545454545453,0.47727272727272724,0.06818181818181818,1,1,1,LowVerify,1
35,0.6052631578947368,0.7105263157894737,0.2894736842105263,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.4444444444444444,0.4888888888888888,0.06666666666666667,1,1,1,LowVerify,1
36,0.6153846153846154,0.717948717948718,0.3076923076923077,0.8695652173913043,0.06521739130434782,0.06521739130434782,0.43478260869565216,0.49999999999999994,0.06521739130434782,1,1,1,LowVerify,1
37,0.625,0.725,0.325,0.8723404255319149,0.06382978723404255,0.06382978723404255,0.42553191489361697,0.5106382978723404,0.06382978723404255,1,1,1,LowVerify,1
38,0.6341463414634146,0.7317073170731707,0.34146341463414637,0.8750000000000001,0.0625,0.0625,0.41666666666666663,0.5208333333333334,0.0625,1,1,1,LowVerify,1
39,0.6428571428571429,0.7380952380952381,0.35714285714285715,0.8775510204081634,0.061224489795918366,0.061224489795918366,0.4081632653061225,0.5306122448979592,0.061224489795918366,1,1,1,LowVerify,1
40,0.6511627906976745,0.7441860465116279,0.37209302325581395,0.88,0.06,0.06,0.4,0.52,0.08,1,1,1,LowVerify,2
41,0.6590909090909091,0.75,0.38636363636363635,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.39215686274509803,0.5294117647058824,0.0784313725490196,1,1,1,LowVerify,1
42,0.6666666666666666,0.7555555555555555,0.4,0.8846153846153846,0.057692307692307696,0.057692307692307696,0.3846153846153846,0.5192307692307693,0.09615384615384616,1,1,1,LowVerify,2
43,0.6739130434782609,0.7608695652173914,0.41304347826086957,0.8867924528301887,0.05660377358490566,0.05660377358490566,0.3773584905660377,0.5283018867924528,0.09433962264150943,1,1,1,LowVerify,1
44,0.6808510638297872,0.7659574468085106,0.425531914893617,0.8888888888888888,0.05555555555555555,0.05555555555555555,0.37037037037037035,0.5185185185185185,0.1111111111111111,1,1,1,LowVerify,2
45,0.6875,0.7708333333333334,0.4375,0.890909090909091,0.05454545454545454,0.05454545454545454,0.36363636363636365,0.509090909090909,0.1272727272727273,1,1,1,LowVerify,2
46,0.6938775510204082,0.7755102040816326,0.4489795918367347,0.8928571428571429,0.05357142857142857,0.05357142857142857,0.35714285714285715,0.5,0.14285714285714285,1,1,1,LowVerify,2
47,0.7,0.78,0.46,0.894736842105263,0.05263157894736842,0.05263157894736842,0.3508771929824561,0.49122807017543857,0.15789473684210525,1,1,1,LowVerify,2
48,0.7058823529411765,0.7843137254901961,0.47058823529411764,0.896551724137931,0.05172413793103448,0.05172413793103448,0.3448275862068965,0.48275862068965514,0.1724137931034483,1,1,1,LowVerify,2
