epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.348,0.225,0.4425531914893617,0.38461538461538464,1.028,0.225,1.4425531914893617,2.0,0.069,0.0825,0.07021276595744681,0.023076923076923078,0.91842,0.99655,-0.87742,0.596,0.31,0.352,0.338,0.298,0.0,0.702,0.0995
1,0.366,0.225,0.46808510638297873,0.4307692307692308,1.003,0.24,1.3851063829787233,1.9692307692307693,0.081,0.08,0.09148936170212765,0.046153846153846156,0.8317599999999999,0.9925,-0.8353400000000001,0.556,0.304,0.389,0.307,0.277,0.004,0.719,0.09900250000000001
2,0.397,0.3525,0.43617021276595747,0.3923076923076923,0.984,0.385,1.2404255319148936,1.9,0.1,0.1325,0.0851063829787234,0.05384615384615385,0.73673,0.9875000000000002,-0.7889700000000001,0.547,0.246,0.524,0.23,0.267,0.013,0.72,0.0985074875
3,0.393,0.3325,0.43829787234042555,0.4153846153846154,0.947,0.385,1.176595744680851,1.8461538461538463,0.102,0.1525,0.07659574468085106,0.038461538461538464,0.6634800000000001,0.9823999999999999,-0.77175,0.493,0.246,0.561,0.193,0.237,0.02,0.743,0.09801495006250001
4,0.4,0.33,0.4574468085106383,0.4076923076923077,0.941,0.4375,1.1319148936170214,1.8,0.09,0.1125,0.08085106382978724,0.05384615384615385,0.60954,0.9779000000000002,-0.79706,0.483,0.225,0.609,0.166,0.237,0.026,0.737,0.09752487531218751
5,0.399,0.355,0.44468085106382976,0.36923076923076925,0.936,0.4875,1.097872340425532,1.7307692307692308,0.091,0.125,0.08085106382978724,0.023076923076923078,0.57242,0.9733500000000002,-0.8078799999999999,0.499,0.205,0.654,0.141,0.241,0.035,0.724,0.09703725093562657
6,0.433,0.4125,0.4574468085106383,0.4076923076923077,0.947,0.55,1.0765957446808512,1.7,0.111,0.1675,0.07659574468085106,0.06153846153846154,0.52693,0.9678000000000002,-0.79051,0.535,0.18,0.693,0.127,0.256,0.039,0.705,0.09655206468094843
7,0.421,0.42,0.43617021276595747,0.36923076923076925,0.939,0.565,1.0617021276595744,1.646153846153846,0.089,0.155,0.05319148936170213,0.015384615384615385,0.50554,0.9633500000000004,-0.8286099999999998,0.544,0.174,0.713,0.113,0.255,0.046,0.699,0.09606930435754368
8,0.398,0.3675,0.4425531914893617,0.33076923076923076,0.927,0.5725,1.0382978723404255,1.6153846153846154,0.104,0.15,0.08085106382978724,0.046153846153846156,0.48444999999999994,0.9581500000000002,-0.8019099999999999,0.512,0.171,0.731,0.098,0.247,0.05,0.703,0.09558895783575597
9,0.389,0.3525,0.43617021276595747,0.33076923076923076,0.933,0.585,1.0446808510638297,1.6,0.091,0.13,0.07872340425531915,0.015384615384615385,0.47246999999999995,0.9536000000000001,-0.83002,0.521,0.166,0.735,0.099,0.255,0.052,0.693,0.09511101304657718
10,0.398,0.3825,0.43617021276595747,0.3076923076923077,0.943,0.61,1.0446808510638297,1.6,0.091,0.1175,0.09148936170212765,0.007692307692307693,0.46309,0.9490500000000003,-0.8426199999999999,0.543,0.156,0.745,0.099,0.265,0.052,0.683,0.09463545798134429
11,0.406,0.405,0.4297872340425532,0.3230769230769231,0.956,0.625,1.0617021276595744,1.5923076923076922,0.113,0.145,0.11063829787234042,0.023076923076923078,0.44396,0.9434000000000001,-0.8238699999999999,0.576,0.15,0.744,0.106,0.279,0.053,0.668,0.09416228069143756
