epoch,average_ai_usage,average_ai_usage_low,average_ai_usage_medium,average_ai_usage_high,average_offer,average_offer_low,average_offer_medium,average_offer_high,detection_rate,detection_rate_low,detection_rate_medium,detection_rate_high,average_individual_trust,average_global_trust,average_candidate_loss,average_company_loss,reject_rate,low_offer_rate,high_offer_rate,overoffer_rate,underoffer_rate,correct_match_rate,epsilon
0,0.258,0.14,0.32553191489361705,0.3769230769230769,0.73,0.0,1.0,2.0,0.05,0.0425,0.06170212765957447,0.03076923076923077,0.94076,0.9975000000000002,-0.62076,0.0,0.4,0.47,0.13,0.0,0.0,1.0,0.0995
1,0.199,0.0475,0.27872340425531916,0.3769230769230769,0.725,0.0025,1.0,1.9538461538461538,0.033,0.0125,0.04468085106382979,0.05384615384615385,0.90446,0.9958499999999999,-0.6557,0.013,0.399,0.477,0.124,0.001,0.006,0.993,0.09900250000000001
2,0.196,0.0425,0.2680851063829787,0.4076923076923077,0.717,0.0075,1.0,1.876923076923077,0.038,0.015,0.05319148936170213,0.05384615384615385,0.86805,0.9939500000000001,-0.6425899999999999,0.035,0.397,0.489,0.114,0.003,0.016,0.981,0.0985074875
3,0.188,0.03,0.2680851063829787,0.38461538461538464,0.713,0.0125,1.0,1.8307692307692307,0.039,0.0125,0.05106382978723404,0.07692307692307693,0.8359500000000001,0.9920000000000002,-0.6418999999999999,0.049,0.395,0.497,0.108,0.005,0.022,0.973,0.09801495006250001
4,0.198,0.065,0.2574468085106383,0.3923076923076923,0.706,0.0175,1.0,1.7615384615384615,0.044,0.03,0.0574468085106383,0.038461538461538464,0.7974100000000001,0.9898000000000003,-0.62346,0.069,0.393,0.508,0.099,0.007,0.031,0.962,0.09752487531218751
5,0.195,0.06,0.24893617021276596,0.4153846153846154,0.705,0.0225,1.0,1.7384615384615385,0.04,0.02,0.059574468085106386,0.03076923076923077,0.7744200000000001,0.9887500000000001,-0.64201,0.077,0.391,0.513,0.096,0.009,0.034,0.957,0.09703725093562657
6,0.179,0.05,0.23617021276595745,0.36923076923076925,0.704,0.03,1.0,1.7076923076923076,0.032,0.015,0.05106382978723404,0.015384615384615385,0.7599300000000001,0.9871500000000001,-0.65751,0.088,0.388,0.52,0.092,0.012,0.038,0.95,0.09655206468094843
7,0.187,0.0575,0.24680851063829787,0.36923076923076925,0.708,0.04,1.0,1.7076923076923076,0.041,0.02,0.06170212765957447,0.03076923076923077,0.7393099999999999,0.9851000000000003,-0.6463799999999998,0.093,0.384,0.524,0.092,0.016,0.038,0.946,0.09606930435754368
8,0.182,0.06,0.225531914893617,0.4,0.711,0.0525,1.0,1.6923076923076923,0.04,0.03,0.05106382978723404,0.03076923076923077,0.7228199999999999,0.9831000000000003,-0.65451,0.103,0.379,0.531,0.09,0.021,0.04,0.939,0.09558895783575597
9,0.187,0.05,0.2553191489361702,0.36153846153846153,0.711,0.06,1.0,1.6692307692307693,0.033,0.0125,0.04468085106382979,0.05384615384615385,0.7091200000000001,0.9814500000000003,-0.6643,0.111,0.376,0.537,0.087,0.024,0.043,0.933,0.09511101304657718
10,0.176,0.05,0.23191489361702128,0.36153846153846153,0.714,0.075,1.0,1.646153846153846,0.035,0.0225,0.04468085106382979,0.038461538461538464,0.69553,0.9797000000000002,-0.6654099999999998,0.123,0.37,0.546,0.084,0.03,0.046,0.924,0.09463545798134429
11,0.174,0.05,0.23617021276595745,0.33076923076923076,0.716,0.09,1.0,1.6153846153846154,0.023,0.015,0.03404255319148936,0.007692307692307693,0.68751,0.9795500000000003,-0.6849799999999999,0.137,0.364,0.556,0.08,0.036,0.05,0.914,0.09416228069143756
12,0.171,0.0575,0.21914893617021278,0.34615384615384615,0.719,0.0975,1.0,1.6153846153846154,0.029,0.02,0.03404255319148936,0.038461538461538464,0.68016,0.9791000000000004,-0.6826499999999999,0.143,0.361,0.559,0.08,0.039,0.05,0.911,0.09369146928798038
13,0.151,0.0375,0.20212765957446807,0.3153846153846154,0.723,0.1125,1.0,1.6,0.03,0.01,0.04680851063829787,0.03076923076923077,0.67815,0.9786000000000005,-0.69099,0.151,0.355,0.567,0.078,0.045,0.052,0.903,0.09322301194154048
14,0.163,0.0575,0.21063829787234042,0.3153846153846154,0.727,0.12,1.0,1.6076923076923078,0.04,0.0125,0.06595744680851064,0.03076923076923077,0.6704600000000001,0.9766000000000004,-0.67931,0.154,0.352,0.569,0.079,0.048,0.051,0.901,0.09275689688183278
15,0.135,0.02,0.1851063829787234,0.3076923076923077,0.73,0.13,1.0,1.6,0.021,0.005,0.03829787234042553,0.007692307692307693,0.66782,0.9765500000000005,-0.7063599999999999,0.158,0.348,0.574,0.078,0.052,0.052,0.896,0.09229311239742362
16,0.134,0.0225,0.17446808510638298,0.33076923076923076,0.734,0.1375,1.0,1.6076923076923078,0.03,0.0125,0.0425531914893617,0.038461538461538464,0.6603300000000002,0.9750500000000004,-0.69651,0.158,0.345,0.576,0.079,0.055,0.051,0.894,0.0918316468354365
17,0.129,0.0475,0.15531914893617021,0.2846153846153846,0.741,0.155,1.0,1.6076923076923078,0.023,0.0175,0.029787234042553193,0.015384615384615385,0.65575,0.9739000000000004,-0.7134199999999999,0.166,0.338,0.583,0.079,0.062,0.051,0.887,0.09137248860125932
18,0.124,0.0525,0.15106382978723404,0.24615384615384617,0.75,0.175,1.0,1.6153846153846154,0.022,0.025,0.02553191489361702,0.0,0.6488100000000001,0.9758000000000004,-0.7210599999999999,0.174,0.33,0.59,0.08,0.07,0.05,0.88,0.09091562615825302
19,0.122,0.0425,0.15531914893617021,0.24615384615384617,0.757,0.1925,1.0,1.6153846153846154,0.021,0.02,0.023404255319148935,0.015384615384615385,0.64351,0.9766000000000006,-0.7306999999999998,0.179,0.323,0.597,0.08,0.077,0.05,0.873,0.09046104802746176
20,0.139,0.05,0.17446808510638298,0.2846153846153846,0.766,0.215,1.0,1.6153846153846154,0.021,0.0175,0.02127659574468085,0.03076923076923077,0.63732,0.9775500000000006,-0.73881,0.187,0.314,0.606,0.08,0.086,0.05,0.864,0.09000874278732444
21,0.129,0.05,0.16170212765957448,0.25384615384615383,0.769,0.2225,1.0,1.6153846153846154,0.026,0.0225,0.029787234042553193,0.023076923076923078,0.62694,0.9782500000000006,-0.7326199999999999,0.194,0.311,0.609,0.08,0.089,0.05,0.861,0.08955869907338782
22,0.117,0.05,0.13829787234042554,0.24615384615384617,0.77,0.2225,1.0,1.623076923076923,0.023,0.0225,0.019148936170212766,0.038461538461538464,0.61806,0.9771000000000006,-0.7381199999999999,0.194,0.311,0.608,0.081,0.089,0.049,0.862,0.08911090557802087
23,0.119,0.045,0.14468085106382977,0.25384615384615383,0.774,0.2325,1.0,1.623076923076923,0.019,0.0125,0.02553191489361702,0.015384615384615385,0.61551,0.9781500000000005,-0.75245,0.196,0.307,0.612,0.081,0.093,0.049,0.858,0.08866535105013076
24,0.116,0.055,0.1276595744680851,0.26153846153846155,0.776,0.235,1.0,1.6307692307692307,0.02,0.015,0.01702127659574468,0.046153846153846156,0.6124200000000001,0.9781500000000006,-0.7529099999999999,0.195,0.306,0.612,0.082,0.094,0.048,0.858,0.08822202429488012
25,0.109,0.05,0.1276595744680851,0.2230769230769231,0.773,0.2325,1.0,1.6153846153846154,0.02,0.01,0.023404255319148935,0.038461538461538464,0.61108,0.9781500000000005,-0.75166,0.195,0.307,0.613,0.08,0.093,0.05,0.857,0.08778091417340572
26,0.116,0.0475,0.13829787234042554,0.24615384615384617,0.77,0.2275,1.0,1.6076923076923078,0.009,0.0125,0.00851063829787234,0.0,0.6108000000000001,0.9807000000000006,-0.76072,0.196,0.309,0.612,0.079,0.091,0.051,0.858,0.0873420096025387
27,0.105,0.0425,0.12340425531914893,0.23076923076923078,0.774,0.2375,1.0,1.6076923076923078,0.025,0.02,0.027659574468085105,0.03076923076923077,0.6060800000000001,0.9794500000000006,-0.7442799999999999,0.2,0.305,0.616,0.079,0.095,0.051,0.854,0.086905299554526
28,0.09,0.055,0.09148936170212765,0.19230769230769232,0.78,0.2525,1.0,1.6076923076923078,0.026,0.025,0.031914893617021274,0.007692307692307693,0.59694,0.9781500000000006,-0.7448599999999999,0.207,0.299,0.622,0.079,0.101,0.051,0.848,0.08647077305675337
29,0.063,0.035,0.0574468085106383,0.16923076923076924,0.788,0.2725,1.0,1.6076923076923078,0.007,0.005,0.010638297872340425,0.0,0.5981600000000001,0.9828000000000007,-0.7822199999999999,0.217,0.291,0.63,0.079,0.109,0.051,0.84,0.0860384191914696
30,0.071,0.0525,0.0574468085106383,0.17692307692307693,0.785,0.265,1.0,1.6076923076923078,0.014,0.015,0.00851063829787234,0.03076923076923077,0.59582,0.9848000000000008,-0.7686599999999999,0.213,0.294,0.627,0.079,0.106,0.051,0.843,0.08560822709551225
31,0.073,0.045,0.07021276595744681,0.16923076923076924,0.786,0.27,1.0,1.6,0.014,0.0175,0.01276595744680851,0.007692307692307693,0.5912500000000002,0.9855500000000006,-0.76743,0.219,0.292,0.63,0.078,0.108,0.052,0.84,0.08518018596003468
32,0.074,0.0425,0.07021276595744681,0.18461538461538463,0.79,0.28,1.0,1.6,0.013,0.015,0.010638297872340425,0.015384615384615385,0.5903700000000002,0.9871500000000006,-0.7761199999999999,0.219,0.288,0.634,0.078,0.112,0.052,0.836,0.08475428503023451
33,0.071,0.05,0.0574468085106383,0.18461538461538463,0.792,0.285,1.0,1.6,0.013,0.015,0.00851063829787234,0.023076923076923078,0.5867400000000002,0.9875000000000005,-0.7753699999999999,0.224,0.286,0.636,0.078,0.114,0.052,0.834,0.08433051360508334
34,0.071,0.05,0.05531914893617021,0.19230769230769232,0.793,0.2875,1.0,1.6,0.014,0.0175,0.00851063829787234,0.023076923076923078,0.5845000000000001,0.9880000000000007,-0.77676,0.226,0.285,0.637,0.078,0.115,0.052,0.833,0.08390886103705793
35,0.062,0.025,0.06170212765957447,0.17692307692307693,0.795,0.295,1.0,1.5923076923076922,0.011,0.0125,0.00851063829787234,0.015384615384615385,0.58424,0.9903500000000005,-0.7837399999999999,0.231,0.282,0.641,0.077,0.118,0.053,0.829,0.08348931673187264
36,0.066,0.0375,0.06808510638297872,0.14615384615384616,0.795,0.2975,1.0,1.5846153846153845,0.015,0.015,0.014893617021276596,0.015384615384615385,0.5789500000000001,0.9899500000000006,-0.7747099999999999,0.232,0.281,0.643,0.076,0.119,0.054,0.827,0.08307187014821328
37,0.048,0.03,0.04893617021276596,0.1,0.801,0.31,1.0,1.5923076923076922,0.014,0.0125,0.014893617021276596,0.015384615384615385,0.5763200000000002,0.9895000000000005,-0.7843699999999999,0.236,0.276,0.647,0.077,0.124,0.053,0.823,0.08265651079747222
